Temperature,Language,BERTScore,BLEU
0.2,Python,0.8341919779777527,0.014320472133097948
0.2,Python,1.0,1.0
0.2,Python,1.0,1.0
0.2,Python,1.0,1.0
0.2,Python,0.9464961886405945,0.4172261448611506
0.2,Python,0.8952290415763855,0.08055259301867158
0.2,Python,0.8161225318908691,0.011603982212675388
0.2,Python,1.0000001192092896,0.5757197301274735
0.2,Python,0.8048490881919861,0.0
0.2,Python,0.9042857885360718,0.6803749333171202
0.2,Python,1.0000001192092896,1.0
0.2,Python,0.8969709873199463,0.05014752713666788
0.2,Python,1.0000001192092896,1.0
0.2,Python,0.899815559387207,0.7408182206817179
0.2,Python,0.9560868144035339,0.47498326001326974
0.5,Python,0.8590238690376282,0.022878823275628627
0.5,Python,0.7982364892959595,0.0
0.5,Python,0.8446339964866638,0.031694503197185774
0.5,Python,0.9244170784950256,0.2603965252496297
0.5,Python,0.8587793707847595,0.5488116360940264
0.5,Python,0.9415258169174194,0.15989214998944032
0.5,Python,1.0000001192092896,1.0
0.5,Python,0.7988768219947815,0.024577424246727007
0.5,Python,0.899815559387207,0.7408182206817179
0.5,Python,0.8356211185455322,0.26358485268213544
0.5,Python,0.8636438250541687,0.26102742561561243
0.5,Python,0.8540520668029785,0.07552184450877376
0.5,Python,0.853823184967041,0.07552184450877376
0.5,Python,1.0,1.0
0.5,Python,0.895146369934082,0.9131007162822624
0.8,Python,0.8587793707847595,0.5488116360940264
0.8,Python,1.0000001192092896,1.0
0.8,Python,0.8031209111213684,0.032484454739513106
0.8,Python,0.848099410533905,0.09826775284173832
0.8,Python,0.8361316919326782,0.28381756881487175
0.8,Python,0.9289798736572266,0.5963131109794373
0.8,Python,0.8540520668029785,0.07552184450877376
0.8,Python,0.853823184967041,0.07552184450877376
0.8,Python,1.0,1.0
0.8,Python,0.8071786761283875,0.0
0.8,Python,0.9824802875518799,1.0
0.8,Python,0.895146369934082,0.9131007162822624
0.8,Python,0.9929066300392151,0.43146827293898643
0.8,Python,0.8712508678436279,0.1384494600711195
